LABTY,LABTY_OLD,LABTX,AFLAG,LABIE,LABIV,LABIM,RL1IE,RL2IE,RL3IE,RL4IE,RL5IE,RL1IV,RL2IV,RL3IV,RL4IV,RL5IV,DBPTL,DPATH_OLD,UPATH,HTXIV,HLPTX,ISDEL,CRTBY,CRTDT,CRTTM,CHNBY,CHNDT,CHNTM,MAXLT,PLCHD,UNQID,DBPCL
INCPR_NEARMISS_TITLE1_LABEL3,INCPR_NERMS_CUSTOM1,Custom1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB3,CSTM1,/NearMissDetails/T1LB3,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,12,
INCPR_NEARMISS_TITLE1_LABEL4,INCPR_NERMS_CUSTOM2,Custom2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB4,CSTM2,/NearMissDetails/T1LB4,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,13,
INCPR_NEARMISS_TITLE1_LABEL5,INCPR_nearmissdescription,Near Miss Description,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB5,NEADS,/NearMissDetails/T1LB5,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,14,
INCPR_NEARMISS_TITLE1_LABEL6,INCPR_hownearmissavoided,How Near Miss can be avoided,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB6,NMAVD,/NearMissDetails/T1LB6,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,15,
INCPR_NEARMISS_TITLE1_LABEL7,INCPR_immediateactiontoprevent,Immediate action to prevent,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB7,IMMAC,/NearMissDetails/T1LB7,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,16,
INCPR_NEARMISS_TITLE1_LABEL8,INCPR_NERMS_CUSTOM3,Custom 3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_NRMIS_T1LB8,CSTM3,/NearMissDetails/T1LB8,1,,0,S0025570616,07.02.2025,15:01:57,,,,50,Maximum character limit is 50,17,
BASIC_REPORTINGONBEHALF,reportingOnBehalf,Are you Reporting on behalf of someone else?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,/IncidentDetails/REBEH,/IncidentDetails/REBEH,/IncidentDetails/REBEH,1,,0,S0025570616,10.02.2025,09:51:07,,,,50,Maximum character limit is 50,18,
BASIC_INCIDENT_T!_BTN_MAP,RPBTN_MAP,Map,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,44,
BASIC_INCIDENT_TITLE2,Incident_Severity_Probability,Incident Severity and Probability,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,50,
BASIC_INCIDENT_T2_LABEL5,INSVP_CUSTOM10,Custom,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_T2LB5,INC_T_INCDT_CSTM7,/IncidentDetails/T2LB5,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,55,
BASIC_INCIDENT_T2_LABEL6,incprobability,Incident Probabilty,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_T2LB6,INC_T_INCDT_INCPB,/IncidentDetails/T2LB6,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,56,
BASIC_INCIDENT_T2_LABEL8,whichemergencysrv,Which emergency services notified?,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_T2LB8,INC_T_INCDT_EMGNT,/IncidentDetails/T2LB8,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,58,
BASIC_INCIDENT_T2_LABEL9,INSVP_CUSTOM11,Custom ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_T2LB9,INC_T_INCDT_CSTM8,/IncidentDetails/T2LB9,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,59,
BASIC_PEOPLEINVOLVED_TITLE,peopleinvolved,People Involved,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,61,
BASIC_PEOPLEINVOLVED_BTN_ADD,addperson,Add,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,62,
BASIC_PEOPLEINVOLVED_BTN_DELETE,PPLINV_delete,Delete,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,63,
BASIC_PEOPLEINVOLVED_RECORD,recordedstatment,Recorded Statement,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,69,
BASIC_PEOPLEINVOLVED_RECORD_BTNADD,addRecordStatement,Add,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,70,
BASIC_PEOPLEINVOLVED_RECORD_BTNVIEW,ViewRecordedStatement,View,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,71,
BASIC_SIGNATURE_TITLE,Employee_Supervisor_Signature,Signatures,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,79,
BASIC_SIGNATURE_SIGN1,empsign,Employee Signature,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_SIGN1,INC_T_INCDT_EMPSG,/IncidentDetails/SIGN1,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,80,
BASIC_SIGNATURE_SIGN1_ADD,addsign,Add,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NOne,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,81,
BASIC_SIGNATURE_SIGN1_CLEAR,Emp_clearsign,Clear,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,82,
BASIC_SIGNATURE_SIGN1_DATE,date,Date,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_SN1DT,INC_T_INCDT_EMPDT,/IncidentDetails/SN1DT,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,83,
BASIC_SIGNATURE_SIGN2,SupervisorSignature,Supervisor Signature,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_SIGN2,INC_T_INCDT_SUPSG,/IncidentDetails/SIGN2,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,84,
BASIC_SIGNATURE_SIGN2_ADD,supsign,Add,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,85,
BASIC_SIGNATURE_SIGN2_CLEAR,clearsign,Clear,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NOne,None,Button,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,86,
BASIC_SIGNATURE_SIGN2_DATE,SupervisorSignatureDate,Date,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_SN2DT,INC_T_INCDT_,/IncidentDetails/SN2DT,1,,0,S0025570616,10.02.2025,09:51:08,,,,50,Maximum character limit is 50,87,
INCPR_BASIC_REPORTINGONBEHALF,reportingOnBehalf,Are you Reporting on behalf of someone else?,2,0,0,1,0,0,0,0,0,0,0,0,0,0,/IncidentDetails/REBEH,/IncidentDetails/REBEH,/IncidentDetails/REBEH,1,,0,S0025570616,10.02.2025,10:09:41,,,,50,Maximum character limit is 50,88,
INCPR_BASIC_INCIDENT_T!_BTN_MAP,RPBTN_MAP,Map,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,114,
INCPR_BASIC_INCIDENT_TITLE2,Incident_Severity_Probability,Incident Severity and Probability,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,120,
INCPR_BASIC_INCIDENT_T2_LABEL5,INSVP_CUSTOM10,Custom,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_T2LB5,INC_T_INCDT_CSTM7,/IncidentDetails/T2LB5,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,125,
INCPR_BASIC_INCIDENT_T2_LABEL6,incprobability,Incident Probabilty,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_T2LB6,INC_T_INCDT_INCPB,/IncidentDetails/T2LB6,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,126,
INCPR_BASIC_INCIDENT_T2_LABEL8,whichemergencysrv,Which emergency services notified?,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_T2LB8,INC_T_INCDT_EMGNT,/IncidentDetails/T2LB8,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,128,
INCPR_BASIC_INCIDENT_T2_LABEL9,INSVP_CUSTOM11,Custom ,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_T2LB9,INC_T_INCDT_CSTM8,/IncidentDetails/T2LB9,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,129,
INCPR_BASIC_PEOPLEINVOLVED_TITLE,peopleinvolved,People Involved,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,131,
INCPR_BASIC_PEOPLEINVOLVED_BTN_ADD,addperson,Add,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,132,
INCPR_BASIC_PEOPLEINVOLVED_BTN_DELETE,PPLINV_delete,Delete,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,133,
INCPR_BASIC_PEOPLEINVOLVED_RECORD,recordedstatment,Recorded Statement,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,139,
INCPR_BASIC_PEOPLEINVOLVED_RECORD_BTNADD,addRecordStatement,Add,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,140,
INCPR_BASIC_PEOPLEINVOLVED_RECORD_BTNVIEW,ViewRecordedStatement,View,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,141,
INCPR_BASIC_SIGNATURE_TITLE,Employee_Supervisor_Signature,Signatures,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,149,
INCPR_BASIC_SIGNATURE_SIGN1,empsign,Employee Signature,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_SIGN1,INC_T_INCDT_EMPSG,/IncidentDetails/SIGN1,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,150,
INCPR_BASIC_SIGNATURE_SIGN1_ADD,addsign,Add,2,0,0,1,0,0,0,0,0,0,0,0,0,0,NOne,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,151,
INCPR_BASIC_SIGNATURE_SIGN1_CLEAR,Emp_clearsign,Clear,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,152,
INCPR_BASIC_SIGNATURE_SIGN1_DATE,date,Date,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_SN1DT,INC_T_INCDT_EMPDT,/IncidentDetails/SN1DT,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,153,
INCPR_BASIC_SIGNATURE_SIGN2,SupervisorSignature,Supervisor Signature,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_SIGN2,INC_T_INCDT_SUPSG,/IncidentDetails/SIGN2,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,154,
INCPR_BASIC_SIGNATURE_SIGN2_ADD,supsign,Add,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,155,
INCPR_BASIC_SIGNATURE_SIGN2_CLEAR,clearsign,Clear,2,0,0,1,0,0,0,0,0,0,0,0,0,0,NOne,None,Button,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,156,
INCPR_BASIC_SIGNATURE_SIGN2_DATE,SupervisorSignatureDate,Date,2,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_INCDT_SN2DT,INC_T_INCDT_SUPDT,/IncidentDetails/SN2DT,1,,0,S0025570616,10.02.2025,10:09:42,,,,50,Maximum character limit is 50,157,
NEARMISS_TITLE1,nearmissdetail,Near Miss Details,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,10:17:34,,,,50,Maximum character limit is 50,158,
WORKLIST_BTN_DRAFT,loaddraft,Drafts,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:46:00,,,,50,Maximum character limit is 50,161,
WORKLIST_ILLUSTRATE_MSG,selectinc,Please select incident type,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Icon Tab Bar,1,,0,S0025570616,10.02.2025,10:46:00,,,,50,Maximum character limit is 50,164,
WORKLIST_BTN_PRINTPDF,WLRPT_PDF,PDF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:46:01,,,,50,Maximum character limit is 50,182,
WORKLIST_BTN_SUBMITINCIDENT,WLRPT_Submit,Submit,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:46:01,,,,50,Maximum character limit is 50,183,
WORKLIST_BTN_SAVEINCIDENT,WLRPT_SaveDraft,Save,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:46:01,,,,50,Maximum character limit is 50,184,
WORKLIST_BTN_CLOSEPAGE,WLRPT_Close,Close,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:46:01,,,,50,Maximum character limit is 50,185,
INCPR_WORKLIST_BTN_DRAFT,INCPR_loaddraft,Drafts,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:48:55,,,,50,Maximum character limit is 50,188,
INCPR_WORKLIST_ILLUSTRATE_MSG,INCPR_selectinc,Please select incident type,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Icon Tab Bar,1,,0,S0025570616,10.02.2025,10:48:55,,,,50,Maximum character limit is 50,191,
INCPR_INCIDENT_ICON_ATTACHMENT,INCPR_attachment,Attachments,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Icon Tab Bar,1,,0,S0025570616,10.02.2025,10:48:55,,,,50,Maximum character limit is 50,208,
INCPR_WORKLIST_BTN_PRINTPDF,INCPR_WLRPT_PDF,PDF,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:48:55,,,,50,Maximum character limit is 50,209,
INCPR_WORKLIST_BTN_SAVEINCIDENT,INCPR_WLRPT_SaveDraft,Save,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:48:55,,,,50,Maximum character limit is 50,211,
INCPR_WORKLIST_BTN_CLOSEPAGE,INCPR_WLRPT_Close,Close,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Button,1,,0,S0025570616,10.02.2025,10:48:55,,,,50,Maximum character limit is 50,212,
WORKINJURY_TITLE_MAIN,injuryorillnessTitle,Workplace injury/illness,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,None,1,,0,S0025570616,10.02.2025,13:35:27,,,,50,Maximum character limit is 50,213,
ICON_FIRSTAIDER,ICNFA_FirstAider,First Airder,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Icon Tab,1,,0,S0025570616,10.02.2025,13:35:27,,,,50,Maximum character limit is 50,214,
FIRSTAID_TITLE1,injurydetailsFirstAider,Injury details,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,None,1,,0,S0025570616,10.02.2025,13:35:27,,,,50,Maximum character limit is 50,215,
ICON_INJURYPARTY,ICNIP_InjuryParty,Injury Party,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Icon Tab,1,,0,S0025570616,10.02.2025,13:35:27,,,,50,Maximum character limit is 50,222,
INJURY_TITLE1,injurydetails,Injury details,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Header,1,,0,S0025570616,10.02.2025,13:35:27,,,,50,Maximum character limit is 50,223,
INJURY_BODYPART_TITLE1,choosebodypart,Choose the injured body part and nature of injury/illness,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Header,1,,0,S0025570616,10.02.2025,13:35:28,,,,50,Maximum character limit is 50,236,
INJURY_BODYPART_BTN_BODYIMAGE,openbodyimg,Body Image,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Button,1,,0,S0025570616,10.02.2025,13:35:28,,,,50,Maximum character limit is 50,237,
INJURY_BODYPART_COL_DELETE,Delete,Delete,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Button,1,,0,S0025570616,10.02.2025,13:35:28,,,,50,Maximum character limit is 50,238,
INJURY_BODYPART_BTN_ADD,addbodypart,Add Body Part,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Button,1,,0,S0025570616,10.02.2025,13:35:28,,,,50,Maximum character limit is 50,239,
INJURY_TITLE2,returntowork,Return to work,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Header,1,,0,S0025570616,10.02.2025,13:35:28,,,,50,Maximum character limit is 50,245,
INCPR_WORKINJURY_TITLE_MAIN,INCPR_injuryorillnessTitle,Workplace injury/illness,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,None,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,253,
INCPR_ICON_FIRSTAIDER,INCPR_ICNFA_FirstAider,First Airder,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Icon Tab,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,254,
INCPR_FIRSTAID_TITLE1,INCPR_injurydetailsFirstAider,Injury details,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,None,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,255,
INCPR_ICON_INJURYPARTY,INCPR_ICNIP_InjuryParty,Injury Party,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Icon Tab,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,262,
INCPR_INJURY_TITLE1,INCPR_injurydetails,Injury details,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Header,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,263,
INCPR_INJURY_BODYPART_TITLE1,INCPR_choosebodypart,Choose the injured body part and nature of injury/illness,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Header,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,276,
INCPR_INJURY_BODYPART_BTN_BODYIMAGE,INCPR_openbodyimg,Body Image,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Button,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,277,
INCPR_INJURY_BODYPART_COL_DELETE,INCPR_Delete,Delete,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Button,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,278,
INCPR_INJURY_BODYPART_BTN_ADD,INCPR_addbodypart,Add Body Part,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Button,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,279,
INCPR_INJURY_TITLE2,INCPR_returntowork,Return to work,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,Header,1,,0,S0025570616,10.02.2025,13:38:14,,,,50,Maximum character limit is 50,285,
ERGO_MSG_1,ergoinfo,An ergonomic injury is one which results from prolonged strain pressure or incorrect posture due to a specific ergonomic hazard,1,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,MessageStrip,1,,0,S0025570616,10.02.2025,14:19:55,,,,50,Maximum character limit is 50,293,
ERGO_TITLE1,basicergoincdetails,Basic ergonomics details,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,14:19:55,,,,50,Maximum character limit is 50,294,
ERGO_TITLE2,ergoincdetails,Ergonomic details,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,None,1,,0,S0025570616,10.02.2025,14:19:55,,,,50,Maximum character limit is 50,299,
ERGO_TITLE3,describeergoincdetails,Describe ergonomics details,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NOne,None,Header,1,,0,S0025570616,10.02.2025,14:19:55,,,,50,Maximum character limit is 50,306,
INCPR_ERGO_MSG_1,INCPR_ergoinfo,An ergonomic injury is one which results from prolonged strain pressure or incorrect posture due to a specific ergonomic hazard,2,0,0,1,0,0,0,0,0,0,0,0,0,0,none,None,MessageStrip,1,,0,S0025570616,10.02.2025,14:24:37,,,,50,Maximum character limit is 50,310,
INCPR_ERGO_TITLE1,INCPR_basicergoincdetails,Basic ergonomics details,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,10.02.2025,14:24:37,,,,50,Maximum character limit is 50,311,
INCPR_ERGO_TITLE2,INCPR_ergoincdetails,Ergonomic details,2,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,None,1,,0,S0025570616,10.02.2025,14:24:37,,,,50,Maximum character limit is 50,316,
INCPR_ERGO_TITLE3,INCPR_describeergoincdetails,Describe ergonomics details,2,0,0,1,0,0,0,0,0,0,0,0,0,0,NOne,None,Header,1,,0,S0025570616,10.02.2025,14:24:37,,,,50,Maximum character limit is 50,323,
MOTOR_TITLE1,vehicleinvolved,Vehicle involved,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,11.02.2025,06:50:52,,,,50,Maximum character limit is 50,327,
MOTOR_T1_LABEL6,restrictions,Restrictions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,INC_T_MTVDT_T1LB6,INC_T_MTVDT_RESTR,VehicleDetails/T1LB6,1,,0,S0025570616,11.02.2025,06:50:52,,,,50,Maximum character limit is 50,333,
MOTOR_TITLE2,operatordetails,Operator details,1,0,0,1,0,0,0,0,0,0,0,0,0,0,None,None,Header,1,,0,S0025570616,11.02.2025,06:50:52,,,,50,Maximum character limit is 50,353,
