UNQID,TYVAL,TXVAL,COLID,TXDES,MODTY,ISDBL,ISEDT,ISADD,ISEMP,ISSFT,ISMGR,ISDEL,CRTBY,CRTDT,CRTTM,CHNBY,CHNDT,CHNTM,INCTY
22,Vehicle Incident Type,Vandalism/Theft,6,Vehicle Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
23,Vehicle Incident Type,Vehicle Damaged by Fire/Object,7,Vehicle Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
24,Vehicle Incident Type,Vehicle/Property Stolen,8,Vehicle Incident Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
25,Type Of Impact,N/A,1,Type Of Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
26,Type Of Impact,Driver Side,2,Type Of Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
27,Type Of Impact,Head On,3,Type Of Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
28,Type Of Impact,Other,4,Type Of Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
29,Type Of Impact,Passenger Side,5,Type Of Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
30,Type Of Impact,Rear End,6,Type Of Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
31,Type Of Impact,Top,7,Type Of Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
32,Type Of Impact,Underside,8,Type Of Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
33,Motion,N/A,1,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
34,Motion,Changing Lanes,2,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
35,Motion,Field City,3,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
36,Motion,Forward,4,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
37,Motion,Merging,5,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
38,Motion,Parked,6,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
39,Motion,Passing,7,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
40,Motion,Reversing,8,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
41,Motion,Stopped,9,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
42,Motion,Turning: Right,10,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
43,Motion,U-Turn,11,Motion,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
44,Road Type,N/A,1,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
45,Road Type,Boulevard,3,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
46,Road Type,Curve,5,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
47,Road Type,Garage/Shop Floor,7,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
48,Road Type,Intersection,9,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
49,Road Type,Other,10,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
50,Road Type,Park Pathway,11,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
51,Road Type,Parking Lot,12,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
52,Road Type,Paved,13,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
53,Road Type,Straight,14,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
54,Road Type,Turf,15,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
55,Road Type,Unpaved,16,Road Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:58:25,
56,Traffic,N/A,4,Traffic,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
57,Traffic,Heavy,1,Traffic,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
58,Traffic,Light,3,Traffic,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
59,Traffic,Medium ,2,Traffic,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
60,Vehicle Condition,Old,1,Vehicle Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
61,Vehicle Condition,Moderate,2,Vehicle Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
62,Vehicle Condition,New,3,Vehicle Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
63,Type Of Transport,Light Motor Vehicle,1,Type Of Transport,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
64,Type Of Transport,Heavy Motor Vehicle,2,Type Of Transport,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
65,Type Of Transport,Motor Cycle,3,Type Of Transport,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
66,Type Of Transport,Trailer,4,Type Of Transport,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
67,Type Of Transport,Earth Moving Equipment,5,Type Of Transport,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
68,Type Of Transport,Other,6,Type Of Transport,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
73,Weather Conditions,Thunder,1,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
74,Weather Conditions,Fog,2,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
75,Weather Conditions,Night/Dark,3,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
76,Weather Conditions,Other(Add in notes),4,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
77,Weather Conditions,Overcast,5,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
78,Weather Conditions,Rain,6,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
79,Weather Conditions,Snow,7,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
80,Weather Conditions,Sunny,8,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
81,Weather Conditions,Windy,9,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
82,Weather Conditions,N/A,10,Weather Conditions,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
83,Road /Surface Condition,Bare,1,Road /Surface Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
84,Road /Surface Condition,Ice/Snow Covered,2,Road /Surface Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
85,Road /Surface Condition,Sloped,3,Road /Surface Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
86,Road /Surface Condition,Under Construction,4,Road /Surface Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
87,Road /Surface Condition,Uneven/Rough Terrain,5,Road /Surface Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
88,Road /Surface Condition,Wet,6,Road /Surface Condition,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
93,Witness Type,Employee,1,Witness Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
94,Witness Type,Non-Employee,2,Witness Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
96,Treatment Required,No Injury,1,Treatment Required,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
97,Treatment Required,First Aid Only,2,Treatment Required,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
98,Treatment Required,Medical Treatment,3,Treatment Required,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
99,Treatment Required,Psychological Treatment,4,Treatment Required,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
100,Treatment Required,Blood Body Fluid Exposure,5,Treatment Required,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
101,Treatment Required,Fatal,6,Treatment Required,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
102,Individual Type,Company Employee,1,Individual Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
103,Individual Type,Non Company Employee,2,Individual Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
104,Individual Type,Other,3,Individual Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
108,Passenger Type,Company Employee,1,Passenger Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
109,Passenger Type,Non Company Employee,2,Passenger Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
110,Passenger Type,Other,3,Passenger Type,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
111,Property Damage,Company's Buildings,1,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
112,Property Damage,Fences,2,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
113,Property Damage,Driveways,3,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
114,Property Damage,Sidewalks,4,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
115,Property Damage,Facility Gates,5,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
116,Property Damage,Security System for Fences,6,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
117,Property Damage,Camera System,7,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
118,Property Damage,Computers,8,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
119,Property Damage,Office tools,9,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
120,Property Damage,Carport at parking,10,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
121,Property Damage,Station facilities,11,Property Damage,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,13:33:13,
122,Type of Hazardous Material,Chemical,1,Type of Hazardous Material,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:35:15,
123,Type of Hazardous Material,Biological,2,Type of Hazardous Material,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:35:15,
124,Type of Hazardous Material,Radiological,3,Type of Hazardous Material,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:35:15,
125,Type of Hazardous Material,Oxidizing Agents,4,Type of Hazardous Material,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:35:15,
126,Type of Hazardous Material,Toxic Substances,5,Type of Hazardous Material,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:35:15,
127,Physical Form,Liquid,1,Physical Form,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
128,Physical Form,Gas,2,Physical Form,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
129,Physical Form,Solid,3,Physical Form,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
130,Route of Exposure,Inhalation,1,Route of Exposure,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:18:25,
131,Route of Exposure,Skin Contact,2,Route of Exposure,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:18:25,
132,Route of Exposure,Ingestion,3,Route of Exposure,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:18:25,
133,Route of Exposure,Injection,4,Route of Exposure,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:18:25,
134,PPE List,Respiratory Mask,1,PPE List,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:19:19,
135,PPE List,Gloves,2,PPE List,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:19:19,
136,PPE List,Safety Goggles,3,PPE List,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:19:19,
137,PPE List,Safety Shoes,4,PPE List,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:19:19,
138,Exposure Severity,Mild,1,Exposure Severity,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:12:57,
139,Exposure Severity,Moderate,2,Exposure Severity,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:12:57,
140,Exposure Severity,Severe,3,Exposure Severity,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:12:57,
141,Exposure Severity,Critical,4,Exposure Severity,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:12:57,
142,Fire Explosion Level,Low,1,Fire Explosion Level,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:20:38,
143,Fire Explosion Level,Medium ,2,Fire Explosion Level,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:20:38,
144,Fire Explosion Level,High,3,Fire Explosion Level,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:20:38,
148,Pollution Release Location,Indoor,1,Pollution Release Location,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:34:29,
149,Pollution Release Location,Outdoor,2,Pollution Release Location,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:34:29,
150,Environmental Impact,Air Pollution,1,Environmental Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:54:06,
151,Environmental Impact,Water Pollution,2,Environmental Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:54:06,
152,Environmental Impact,Soil Contamination,3,Environmental Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:54:06,
153,Environmental Impact,Hazardous Waste Spill,4,Environmental Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:54:06,
154,Environmental Impact,Wildlife Impact,5,Environmental Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:54:06,
155,Environmental Impact,Other(please specify),6,Environmental Impact,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:54:06,
156,Released To,Containment,1,Released To,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:53:00,
157,Released To,Air,2,Released To,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:53:00,
158,Released To,Soil / Ground,3,Released To,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:53:00,
159,Released To,Water,4,Released To,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,14:53:00,
160,Ergonomics Manual,Poor Ergonomics,1,Relevant Tools,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:18:20,
164,Ergonomics Manual,Acute,2,Relevant Tools,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:18:20,
165,Ergonomics Manual,Chronic,3,Relevant Tools,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:18:20,
166,Types Of Ergonomics,Awkward Posture,1,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
167,Types Of Ergonomics,Lifting/Lowering,2,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
168,Types Of Ergonomics,Repetitive Tasks,3,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
169,Types Of Ergonomics,Office Ergonomics,4,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
170,Types Of Ergonomics,Twisting,5,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
171,Types Of Ergonomics,Push/Pull,6,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
172,Types Of Ergonomics,Reaching,7,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
173,Types Of Ergonomics,Struck against,8,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
174,Types Of Ergonomics,Struck by,9,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
175,Types Of Ergonomics,Caught in between,10,Types Of Ergonomics,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,DB_SLS1128,11.03.2025,12:20:50,
176,Falling Objects,Shelves,1,Falling Objects,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
177,Falling Objects,Other Equipment,2,Falling Objects,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
178,Falling Objects,Loose Load/Unload,3,Falling Objects,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
179,Action Performed,Pushing,1,Action Performed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
180,Action Performed,Pulling,2,Action Performed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
181,Action Performed,Uphill,3,Action Performed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
182,Action Performed,Downhill,4,Action Performed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
183,Action Performed,Inside,5,Action Performed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
184,Action Performed,Outside,6,Action Performed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
185,Action Performed,Other,7,Action Performed,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
186,Emergency Event,Bomb Threat,1,Emergency Event,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
187,Emergency Event,Explosion,2,Emergency Event,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
188,Emergency Event,Fire,3,Emergency Event,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
189,Emergency Event,Drones,4,Emergency Event,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
190,Emergency Event,Flood,5,Emergency Event,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
191,Emergency Event,Hurricane,6,Emergency Event,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
192,Emergency Event,Other,7,Emergency Event,Incident,0,1,1,,,,0,DB_SLS1128,28.07.2023,14:21:32,,,,
193,Owner Type,Public,1,Owner Type,Incident,0,1,1,,,,0,DB_SLS1128,02.08.2023,10:36:32,DB_SLS1128,11.03.2025,13:36:02,
194,Owner Type,Private,2,Owner Type,Incident,0,1,1,,,,0,DB_SLS1128,02.08.2023,10:37:09,DB_SLS1128,11.03.2025,13:36:02,
195,Type of Near Miss,Unsafe Act/ Behavior,1,Type of Near Miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,DB_SLS1128,11.03.2025,10:31:22,
196,Type of Near Miss,Unsafe Condition,2,Type of Near Miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,DB_SLS1128,11.03.2025,10:31:22,
197,Type of Near Miss,Unsafe Equipment,3,Type of Near Miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,DB_SLS1128,11.03.2025,10:31:22,
198,Type of Near Miss,Unsafe Use of Equipment,4,Type of Near Miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,DB_SLS1128,11.03.2025,10:31:22,
199,Frequency near miss,Frequent,1,Frequency near miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,,,,
200,Frequency near miss,Sometimes,2,Frequency near miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,,,,
201,Frequency near miss,Rarely,3,Frequency near miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,,,,
202,Frequency near miss,Never,4,Frequency near miss,Incident,0,1,1,,,,0,DB_SLS1209,03.08.2023,13:18:32,,,,
